fseq,name,kcal,carb,prt,fat
1,갈릭 난,1482.9,248.70999,52.621502,38.844
2,양배추롤,1324.05,61.8746,99.44359,75.6109
3,태국식 홍합찜,1934.0201,80.9841,109.15409,120.4934
4,듬직한 샌드위치,1605.8699,103.82961,65.9888,104.0181
5,북경오리구이,1570.17,52.817,236.3712,39.601
6,우엉 스키야키,559.4,107.92,23.953999,6.056
7,오이피클 샌드위치,48.4,11.744,0.687,0.114
8,썬드라이드 토마토,177.25,9.4382,1.5459001,15.5763
9,데리야끼 치킨,1333.4502,157.21849,129.623,7.337
10,돼지고기 두반장 볶음,734.15,57.9405,60.760994,28.435003
11,새우칠리마요,910.99994,49.509495,10.1185,76.05299
12,게살브로콜리,787.38,93.26201,45.8277,23.4798
13,마파두부덥밥,1393.24,139.52419,56.0285,68.95701
14,니쿠자가,1124.8999,158.07791,88.2964,14.887699
15,튜나 캐서롤,1715.3098,248.55939,71.3017,50.780502
16,돼지고기(삼겹살)오븐구이,4702.46,62.155003,187.82149,408.71912
17,엔젤 부리또,422.16003,38.38,13.127599,27.6147
18,시저 샐러드,2558.98,21.889,157.63051,220.438
19,감자 & 베이컨 샐러드,1989.7001,172.81801,70.00449,111.129
20,땅콩수프,1913.65,185.67221,85.9155,105.8881
21,김치찜,2425.45,69.825,119.8155,176.62
22,양송이버섯 피자,2405.99,258.4985,84.6185,121.7175
23,우유젤리,1391.36,265.70798,34.61,26.409
24,해물 빠에야,1417.59,163.14659,103.6309,35.892998
25,쌀국수,573.2,60.756,61.489002,9.236
26,날치알 떡볶이,1010.59,167.0417,42.7907,19.7848
27,비빔국수,1015.35,170.30551,34.8825,19.6343
28,옥수수 통조림치즈,561.12,36.0127,24.570099,34.9292
29,소고기(갈비)찜,1306.15,95.998505,64.22901,73.9105
30,일본라멘,1393.1499,106.153,86.789505,65.462
31,고구마 맛탕,577.6,121.32001,2.21,10.345
32,목살스테이크,2074.9402,70.67459,121.8734,141.90651
33,식빵 러스크,383.38998,45.974598,5.8405004,19.9713
34,고추잡채,1311.3398,132.9706,50.1369,60.546494
35,갈치조림,619.09,69.9271,46.237404,18.419
36,두부젓국찌개,323.19,15.896501,45.576397,8.401001
37,메밀비빔국수,648.44,100.25371,15.405001,20.6655
38,대구지리탕,398.69,25.1918,66.0307,3.1225002
39,감자 그라탕,500.25,35.1558,23.555498,28.6157
40,치킨스테이크,1073.59,18.462599,44.2619,80.468
41,치즈피쉬스틱,237.65999,20.1183,22.362902,37.3023
42,꽈리고추 감자조림,478.65002,80.152,7.4804997,14.974
43,크림스파게티,1462.5001,98.17299,41.892002,97.565506
44,치킨스낵랩,1145.85,86.451996,63.397003,58.7615
45,로제스파게티면,986.53,103.8578,20.021002,56.884197
46,소고기(차돌박이) 숙주나물볶음,463.49,15.0204,36.568104,27.692
47,가츠동,1060.79,95.018105,61.513897,47.405495
48,부추전,1467.8999,157.0,57.04,64.15
49,해물 하이라이스,943.04004,111.22611,58.4469,25.888
50,오징어 튀김,134.7,7.8570004,2.606,10.224
51,고추짜장면,3449.6301,525.0008,80.485405,104.751
52,마이러블리튀밥,969.69995,78.69101,39.482002,52.890003
53,마이 스위트 베이비,267.0,30.915,3.07,13.791
54,짜투리타타,806.35,24.6215,70.2275,47.024498
55,또띠아꿀피자,838.9,56.4125,43.8475,49.431
56,맑은대구탕,43.4,4.032,5.847,0.8449999
57,마파두부덮밥,499.3,31.781998,20.672998,31.793001
58,알리오올리오,1086.1,94.7473,22.7116,67.8552
59,가래떡 삼합,221.05,24.471,3.769,11.809
60,달걀말이,970.80005,9.431001,52.8705,78.1135
61,스테이크 덮밥,560.11,69.87041,39.7079,13.1538
62,봄동 겉절이,432.46002,68.6576,16.3096,15.155499
63,알탕,487.91,41.7027,70.246506,5.0745006
64,순두부찌개,514.19995,16.702002,71.604004,15.409
65,스파게티소스김치스파게티,2195.55,396.76852,78.62,35.22
66,마파두부,828.08997,61.2547,33.610497,46.9557
67,치킨데리야끼,702.42004,62.769596,50.718,22.126001
68,오징어 간장 조림,511.10004,70.119995,49.330505,3.309
69,오징어볶음,283.8,40.031998,6.756,11.702999
70,누룽지닭백숙,1204.4001,12.802,241.60298,14.051
71,고추장 훈제오리김밥,683.32,63.318005,25.2122,36.8924
72,멸치볶음밥,284.0,13.171001,6.7209997,22.632
73,애호박전,629.02,57.435,13.907001,38.738
74,닭볶음탕,1964.5599,175.93259,266.39008,19.505999
75,시래기 청국장,706.01,40.6301,70.04561,27.54
76,아욱국,824.7,32.759,147.376,7.2790003
77,대구탕,1912.8,40.756496,401.87653,9.455001
78,규동,1441.6099,230.70801,50.905296,31.39
79,샤브샤브,2493.3496,253.724,136.89099,100.26201
80,순대볶음,553.2601,75.4156,15.297602,24.462502
81,톳두부무침,393.81998,23.556501,27.0789,24.436398
82,방풍나물무침,301.5,45.143303,8.5994,11.4086
83,소세지 옥수수 통조림감자 루꼴라,1565.75,123.55151,82.55499,81.067505
84,굴무침,564.92,86.5201,14.8355,24.4795
85,샐러드김밥,68.600006,11.125,6.7509995,1.754
86,까르보나라,2406.6501,266.9075,61.036,121.943
87,길거리토스트,400.58997,49.9177,21.316,14.182899
88,치즈밥전,102.1,14.014,5.0509996,2.702
89,들깨북어미역국,664.64996,16.8895,84.232,30.535
90,또띠아샌드위치,278.1,53.376,9.123,3.162
91,두부 닭고기(가슴) 스테이크,349.39996,14.622,46.697002,10.585
92,치즈잡채쌈,118.3,18.205,3.729,4.341
93,브라우니,340.7,32.565002,4.225,22.469002
94,피클,1197.35,293.71948,13.2695,2.527
95,골뱅이찌개,693.04,58.1363,97.777794,9.5762005
96,도토리묵 무침,477.9,61.898994,9.434999,23.329
97,수제버거,1213.6501,28.3435,98.78171,74.651
98,멸치볶음,119.3,10.47,8.998,5.4459996
99,햄마요덮밥,411.60004,19.5735,40.4095,19.14
100,소고기 만두,858.60004,117.12801,36.278,26.43
101,감자전,148.9,10.984,2.905,10.869
102,코다리조림,2465.8503,94.728,444.98352,26.106998
103,닭개장,1790.8002,66.9955,295.3755,35.524998
104,오징어 초무침,255.0,33.310997,25.452003,3.4980001
105,고기완자전,3472.4497,217.382,197.79301,192.09149
106,아몬드 에너지바,315.8,26.0,7.836,22.588
107,과메기구이,165.55,21.283,8.431001,6.0569997
108,두부스테이크,2037.6099,316.4067,93.711006,36.744198
109,메추리알 소고기 장조림,4299.67,143.0523,359.00317,239.59952
110,시금치 섬초무침,272.3,9.343,3.948,24.462
111,부대찌개,986.7999,82.1435,60.6875,49.416996
112,보쌈,2203.7002,46.329,109.77151,172.088
113,볶음 쌀국수 팟타이,93.1,9.933001,7.092,2.8970003
114,미니핫도그,70.0,8.733001,2.539,2.592
115,베이글 크림소스 햄버거,1202.8,42.6875,64.669304,84.506
116,빠에야,439.6,87.295006,13.968,3.093
117,두부덮밥,116.94,13.6257,4.9328995,5.3275
118,잣 크림치즈 곶감말이,309.0,15.249001,8.025,26.365
119,게살크림치즈만두,846.0,37.787003,18.856,70.129
120,아삭이 가지 고추 물김치,728.0,160.586,17.8955,2.431
121,야채 달걀찜 프리타타,1788.5,77.89949,110.81501,109.173
122,바케트 달걀빵,301.6,27.723001,18.431,13.474
123,돼지고기 김치찌개,2201.15,79.68601,154.1545,133.9285
124,감자볶음,282.4,16.082,24.529,13.898
125,애호박새우젓볶음,377.15,11.5765,5.362,34.651497
126,짜장떡볶이,1238.4,156.08249,66.0495,39.686
127,베이컨갈릭 옥수수 통조림치즈,1348.2198,152.2096,46.1735,61.910995
128,날치알 달걀 덮밥,681.7,81.35351,26.571003,26.1025
129,치킨마요덮밥,1062.2,55.342003,19.499,83.411995
130,해물파전,963.25,149.1305,36.4949,21.072
131,충무김밥,1492.6499,176.455,103.261,41.765995
132,굴소스 스파게티면,1474.45,196.059,55.324997,52.404
133,돼지고기 김치찜,2753.31,58.1156,246.06262,158.193
134,통밀 바나나 잣 빵,1636.55,253.221,48.980995,46.736
135,깐풍만두,179.62,39.496098,5.1101995,1.162
136,허니콤보 치킨,926.4,34.184998,149.54199,18.671999
137,오지치즈후라이,931.1,76.297005,46.628,47.6
138,해물 강된장,515.0,33.444,69.749504,10.0
139,베이컨 치즈 주먹밥구이,1876.2999,125.12901,102.493,103.759
140,유채잎 된장무침,409.0,34.5803,23.752302,24.1684
141,떡꼬치,5759.58,1286.3313,94.9354,17.103
142,생선까스,363.7,24.253,24.012001,18.163
143,닭꼬치,552.95996,39.6254,73.9571,7.405
144,주꾸미볶음,984.14996,179.3965,51.288498,13.735999
145,명란스파게티면,190.20001,10.988,3.815,14.513001
146,오징어 버터구이,346.4,41.099003,37.779,6.5790005
147,쇼콜라 케이크,2223.7,236.394,95.185,111.32301
148,치킨룰라드,1400.78,44.6446,118.61051,80.9204
149,베이컨 에그컵,508.2,5.105,35.189003,36.709
150,옥수수 통조림치즈 샐러드,769.8,122.604,20.915,21.725998
151,오이무침,233.1,42.99,8.783,5.4649997
152,컵케이크,495.63,51.216,18.383999,25.9665
153,문어산적,662.55,93.996,18.72,25.3115
154,닭불고기,545.87994,55.313507,43.0279,16.2209
155,마늘 크루통,244.56,46.111,6.0936003,6.468
156,부추 오징어 부침개,586.2,19.651,56.740997,28.944
157,짬뽕,578.19995,39.179,63.096996,16.362
158,크레이프 케이크,3922.7,390.19098,136.12999,202.33002
159,팬피자,522.68,49.184402,34.466103,19.5219
160,돼지고기 보쌈,2079.55,14.939001,107.11,170.3945
161,소불고기,2252.2,53.026997,158.00598,150.07501
162,깻잎나물,787.14,39.8777,22.220001,62.897
163,두부조림,1128.35,66.2245,81.2345,59.343
164,유린기,931.61005,64.7704,129.29799,15.3292
165,홍어회무침,1508.8501,147.99998,215.71552,10.239
166,김치돼지고기 두루치기,1332.1998,61.269,62.945004,88.83699
167,아구찜,1329.9999,147.826,159.40047,6.2645
168,동태조림,928.3,45.688,165.67198,6.8160005
169,깐풍골뱅이,1271.1898,94.0617,170.41971,22.5685
170,돈까스,3148.8,325.119,280.307,65.361
171,황태채 구이,628.01,35.4952,83.79271,16.7643
172,굴밥,795.89996,161.70601,21.7735,2.895
173,알리오올리오,525.15,100.64651,21.628498,5.191
174,돼지고기(목살) 스테이크,2116.9502,60.7345,164.28253,123.78901
175,해물 스파게티,974.19995,156.59349,45.108494,13.8205
176,우유식빵,1547.73,310.557,62.238003,14.382999
177,된장 깻잎 짱아찌,119.9,17.725,7.5965004,1.958
178,차슈 덮밥,2648.62,160.99649,184.061,130.982
179,고추장찌개,138.6,22.105001,7.11,3.2329998
180,주꾸미볶음,168.09999,25.016003,6.617,5.99
181,그릴치즈 샌드위치,86.7,14.345,2.657,2.962
182,어니언딥,1217.3501,43.269997,10.494999,115.14449
183,터키버거 샌드위치,399.2,29.482,19.21,22.618
184,미트볼,1161.0801,24.177803,100.62542,69.8526
185,소고기 카레,265.34998,49.482,8.616,5.8980002
186,찜닭,1616.5,103.89101,225.00749,28.181
187,닭고기(날개)구이,1040.0,62.1795,54.7865,58.014
188,스펨카레,369.6,23.835,34.3,16.45
189,허니버터 새우 토스트,219.04,43.5498,6.461,3.3564
190,두릅무침,400.0,20.1295,25.694,24.797
191,황태국,786.7,6.845,156.653,10.555
192,해독주스,383.0,93.75,9.43,2.3100002
193,미역줄기볶음,354.1,20.95,9.951,30.302498
194,고구마 푸딩,820.91,171.2985,12.346,13.010999
195,또띠아,453.27,26.056,38.593,21.152
196,비트주스,17.9,4.163,0.407,0.095000006
197,찹스테이크,1367.3,59.100506,55.699,98.398
198,고르곤졸라피자,223.5,18.512001,5.392,14.724001
199,해물 떡볶이,1765.6798,329.7678,63.343002,20.475801
200,가지무침,279.61,29.0602,8.536201,15.7963
201,토마토 치킨 카레,579.5499,71.357506,34.2205,20.801
202,김치볶음밥,731.7701,74.675606,27.34,38.1115
203,쿠키 버터,1231.0,194.83,26.509998,48.11
204,참치 치즈토스트,196.7,20.585,12.042,8.051
205,만두 떡볶이,992.56,182.6381,20.041101,22.8812
206,호박 고구마 식빵롤,564.75,123.65849,9.43,4.2295
207,또띠아 피자,213.35002,35.131496,8.479,4.62
208,치즈떡볶이,1063.75,185.75351,56.317005,12.426999
209,치즈가래떡,623.7001,122.934,16.727001,9.155001
210,칠리연어 퀘사딜라,643.39996,13.15,50.74,42.690002
211,식빵토스트,463.4,69.84701,15.23,13.605
212,요거트 베리 피자,1218.2,202.14,19.045,32.965
213,뚝배기 달걀찜,309.67,8.968,27.588,17.384499
214,부추김치전,1009.4,162.23401,46.450996,13.99
215,참치 샌드위치,3867.0503,91.915504,87.80299,351.26498
216,오징어 볶음,597.95,38.806004,34.4835,33.038498
217,부지깽이 새우볶음,274.66,11.7887,16.5534,18.223
218,포테이토피자,586.94995,42.696,20.972,36.366
219,볶음우동,608.1,68.8855,37.175,18.9885
220,멸치주먹밥,1020.45,123.45451,61.1605,29.322002
221,주먹밥,836.6,92.963,49.304996,26.561
222,참깨크래커,967.49994,130.746,14.896,40.321
223,치즈 소스와 맥앤치즈,437.84998,93.3373,19.761297,1.6908001
224,토스트,279.6,38.755,8.004,11.354
225,쫄면,2359.25,403.49292,81.132996,44.5725
226,카라멜 크루통,2376.1,483.42102,49.736004,31.995998
227,오믈렛,693.5,21.2165,49.583,43.333
228,야채참치라면,603.15,87.7175,19.437,21.487999
229,달래 된장찌게,346.37,42.3094,31.129402,8.8654
230,만두그라탕,731.0,95.99801,33.406,24.373001
231,돼지고기장조림,1898.35,22.075,233.9515,87.837006
232,나쵸칩연어까나페,248.26003,33.3439,11.907901,8.0838
233,시금치프리타타,1668.41,79.8383,107.58971,98.156006
234,망고 치아시드 푸딩,631.45,93.3235,15.42,21.182499
235,연어스테이크,997.8,138.10901,62.036003,24.421999
236,수제딸기아이스크림,2064.21,116.0565,59.351997,154.04399
237,베리크림치즈크레이프,2654.28,386.41772,66.069496,91.459595
238,소시지프라타타,791.8,57.481003,62.982994,34.931
239,치즈김밥,289.59998,54.824,11.886001,4.04
240,호떡,672.39996,88.852,15.707,28.838999
241,참치주먹밥,1033.55,105.97952,29.530499,55.197
242,피넛오트밀쉐이크,1473.2,210.523,40.595,51.829998
243,봄동비빔국수,337.66998,50.048702,7.8513002,12.507299
244,날치알밥,678.77,103.42252,23.689499,19.9575
245,스파이시 글레이즈 피칸,1699.56,93.5582,30.370998,145.65039
246,연어샌드위치,438.3,51.940998,28.229,12.799
247,미니참치버거,1869.7999,267.41803,71.21301,58.526
248,로스트 브로콜리,482.9,32.863003,12.481501,34.981
249,대파절이,247.91,31.646702,8.957,11.3398
250,웨지감자,140.3,3.4550002,3.286,12.859
251,닭고기(가슴) 샌드위치,638.9,68.037,58.656998,14.532
252,크레미 오이롤초밥,456.1,75.569,12.835001,10.995999
253,초코강정,1604.25,213.6445,21.698,76.846
254,깍두기볶음밥,596.05,91.218,23.709501,15.5655
255,매콤멸치 치즈김밥,624.02,31.348,37.055,40.9115
256,허니브래드,1666.2001,282.74503,55.657005,36.158997
257,기름떡볶이,899.35,178.9118,14.313701,14.610499
258,연어마요덮밥,1183.75,71.2145,137.0175,34.156006
259,롤케이크,576.5,138.986,9.557,2.421
260,꽈리고추 멸치볶음,685.8301,50.935005,22.9193,41.671997
261,부대즉석떡볶이,857.7,150.989,29.827002,17.744999
262,불고기 깻잎 토스트,233.0,37.752,10.135,5.3059998
263,크림딸기모찌,1055.5,149.71,19.445,43.54
264,바게트피자토스트,940.80005,105.489,43.141,37.453003
265,완두콩스파게티면,1151.24,177.92912,32.135902,33.313995
266,밥스테이크,673.2,85.99351,34.215,19.9695
267,고구마도넛,1593.2,327.907,21.0755,19.522999
268,밥도그,1498.95,251.93399,51.800503,27.879997
269,달걀부추빵,1039.2,66.8565,44.6815,65.02901
270,햄이라면,1741.16,241.9652,46.071,64.6542
271,에그홀토스트,430.0,47.648003,24.79,16.417
272,매운홍합볶음,824.42,71.0011,52.800503,35.803997
273,홍합라면,1580.7,241.327,34.885,53.350998
274,마약김밥,1577.2,309.659,39.74,20.6765
275,돈까스 라면,2047.3,261.08203,72.884995,77.729
276,스크램블에그 치즈라면,1802.7999,240.315,55.198,67.803
277,고등어김치찌개,978.1,34.705997,95.891,49.076996
278,베리스무디,497.0,88.56999,11.59,16.8
279,홍구리라면,1538.1,238.172,32.374,50.721
280,해물라면,3050.7,479.653,64.726006,97.037994
281,달걀 샌드위치,842.01996,41.2335,58.202698,47.7466
282,몬테크리스토 샌드위치,651.8,44.115,32.479,37.225998
283,식빵피자,217.79999,22.217,13.139,9.441999
284,유부 어묵탕,64.4,3.496,4.156,3.8949997
285,츄러스,2915.18,363.75052,86.4095,144.5775
286,모닝빵샌드위치,507.7,76.495995,15.345002,15.638
287,돼지고기(삼겹살)김밥,899.75,40.4185,41.138,62.571495
288,모차렐라치즈 피자,1056.7499,129.8419,42.744003,44.8136
289,봉골레 스파게티,896.2,141.245,46.907993,13.844
290,아보카도 부르스케타,280.12,29.8335,7.8685,17.213
291,해산물 토마토 스파게티,401.8,35.775,34.134,12.782999
292,소고기 카르대파치오,1021.66,73.244,44.739002,67.731
293,간장새우,312.59998,31.778,42.511,2.0789998
294,닭고기(가슴) 오므라이스,1134.2001,93.28,92.245,38.260998
295,닭발 볶음,218.34999,22.856,6.278,12.614999
296,닭고기(가슴) 샐러드,220.0,20.796999,9.618,12.864
297,해산물 피자,395.25,20.543499,35.080498,18.287998
298,허니버터칩,243.15999,56.8642,5.8738995,1.0874001
299,고추페스토 치즈롤,997.6,79.035995,40.614,59.584
300,파인애플볶음밥,466.5,69.82001,24.230001,12.88
301,배추찜,471.8,42.662502,8.518,30.130001
302,두부샐러드,325.8,12.708,19.522003,22.346
303,밤 머핀,1302.73,197.934,29.094,41.819004
304,애호박전,149.29999,19.046999,16.4865,0.85300004
305,잔치국수,312.4,17.730999,8.354,25.290998
306,카레치즈라면,2373.6,348.835,48.494003,87.02901
307,치즈 달걀말이,935.2,7.208,84.964,58.020004
308,프렌치 토스트 머핀,2134.6,196.588,71.448,116.769
309,차슈덮밥,1438.45,75.549995,105.64449,78.15749
310,콩나물밥,278.41,26.7308,10.4585,15.888
311,부타동,1045.44,110.37149,57.143,38.932
312,스캘럽트 포테이토,3359.8901,449.33063,148.7124,112.22551
313,파인애플 볶음밥,1172.9,188.48103,35.674995,27.29
314,소고기(차돌박이) 간장비빔국수,1815.73,272.0096,87.65879,36.385002
315,홍구리 라면,1901.9,261.93802,56.149,68.94
316,시금치 크림소스 감자뇨끼,1765.1,236.0965,57.6135,67.242
317,함박스테이크,1459.1,60.635,91.479,89.098495
318,쥐포 간장볶음,207.89,19.897799,19.6805,5.357
319,오이피클,4722.2,1153.2981,19.792002,0.262
320,사과 부추무침,259.1,39.116295,8.2965,9.1305
321,산마늘(명이나물) 장아찌,1905.0,446.798,49.543,2.207
322,고추장 떡국,1366.3497,189.98102,63.676,39.742
323,소고기(차돌박이)고추장찌개,425.02,65.4286,33.5772,7.1569996
324,산마늘(명이나물)김치,79.4,14.615999,3.039,0.94499993
325,전자렌지 달걀찜,279.69998,3.2340004,26.565998,16.54
326,두릅꼬막비빔밥,153.7,35.16,4.032,1.2670001
327,골뱅이 비빔국수,587.87994,63.7262,77.154305,2.8586
328,스토로베리 요거트 아이스캔디,827.60004,159.583,19.678,15.851001
329,김치돼지고기(삼겹살)말이,1073.1799,64.500496,42.299503,73.0175
330,쿠키버터머그케이크,552.52,79.784,10.554,20.098
331,명란볶음밥,222.45999,47.7393,4.658,0.8892999
332,삼겹철판볶음면,44.799995,2.45,2.421,3.0620003
333,야채피클,758.55,190.428,5.2795,0.1885
334,또띠아피자,177.19998,27.915,6.922,4.163
335,아보카도 망고 롤리팝,792.8,140.70299,6.454,29.668997
336,햄두부샌드,689.0,15.303999,88.669,27.686
